algorithm_name,query_count,q_error_avg,q_error_min,q_error_max,time_ms_avg,time_ms_min,time_ms_max,cost_usd_total,llm_calls_total,tokens_total,memory_consumption_total
Custom Algorithm Template,50,-2770.54,-51212.0,1.0,0.00818014144897461,0.006794929504394531,0.021532177925109863,0.0,0.0,0.0,0.0
Extrapolation Sampling 1%,102,-664.259128471215,-17226.0,133.33333333333334,5360.102385355562,459.4618231058121,288390.7641619444,0.15102734,2787.0,674719.0,247784992.0
Semantic Histogram,31,-122.24540042712677,-1000.0,9.155172413793103,6111.896095256651,4840.49866348505,22113.40656131506,0.0,992.0,43616.0,58657994346.0
Extrapolation Sampling 5%,102,-35.19893056369447,-1375.0,26.666666666666668,11615.27556107909,1097.3472595214844,167016.44472032785,1.1855023400000002,21401.0,5423185.0,1241593832.0
Extrapolation Sampling 15%,102,-19.491214988703327,-999.0,10.666666666666666,44497.999818666896,2986.0121607780457,466874.07809495926,6.646678480000201,120752.0,29666786.0,3722450366.0
Extrapolation Sampling 10%,102,-19.321727929773314,-999.0,16.0,27619.113211830456,2016.535647213459,408282.261967659,3.4073991200000036,61658.0,15353047.0,2483880612.0
Extrapolation Sampling 20%,102,-16.368951220538655,-999.0,37.5,67025.9214075757,3793.2459637522697,1018044.6675568819,10.837055219999941,198721.0,48195363.0,4963991066.0
